rank,points,members,foreign_players,mean_age,salaries,spending,Mean_Player_Rating,Wins,Draws,Losses,Goals_For,Goals_Against,Goal_Difference,Season_2015-2016,Season_2016-2017,Season_2017-2018,Season_2018-2019,Season_2019-2020,Season_2020-2021,Season_2021-2022,Season_2022-2023,Season_Arsenal_summary_stats,Season_Aston Villa_summary_stats,Season_Bournemouth_summary_stats,Season_Brentford_summary_stats,Season_Brighton_summary_stats,Season_Burnley_summary_stats,Season_Cardiff_summary_stats,Season_Chelsea_summary_stats,Season_Crystal Palace_summary_stats,Season_Everton_summary_stats,Season_Fulham_summary_stats,Season_Huddersfield Town_summary_stats,Season_Hull City_summary_stats,Season_Leeds_summary_stats,Season_Leicester_summary_stats,Season_Liverpool_summary_stats,Season_Manchester City_summary_stats,Season_Manchester United_summary_stats,Season_Middlesbrough_summary_stats,Season_Newcastle_summary_stats,Season_Norwich_summary_stats,Season_Nottingham Forest_summary_stats,Season_Sheffield United_summary_stats,Season_Southampton_summary_stats,Season_Stoke City_summary_stats,Season_Sunderland_summary_stats,Season_Swansea_summary_stats,Season_Tottenham_summary_stats,Season_Watford_summary_stats,Season_West Bromwich Albion_summary_stats,Season_West Ham_summary_stats,Season_Wolverhampton_summary_stats,Team_Arsenal,Team_Aston Villa,Team_Bournemouth,Team_Brentford,Team_Brighton,Team_Burnley,Team_Cardiff,Team_Chelsea,Team_Crystal Palace,Team_Everton,Team_Fulham,Team_Huddersfield Town,Team_Hull City,Team_Leeds,Team_Leicester,Team_Liverpool,Team_Manchester City,Team_Manchester United,Team_Middlesbrough,Team_Newcastle,Team_Norwich,Team_Nottingham Forest,Team_Sheffield United,Team_Southampton,Team_Stoke City,Team_Sunderland,Team_Swansea,Team_Tottenham,Team_Watford,Team_West Bromwich Albion,Team_West Ham,Team_Wolverhampton,high_point,log_spending,normalized_points
1.0,93.0,57.0,41.0,23.5,1950000.0,138500000.0,6.5,30.0,3.0,5.0,85.0,33.0,52.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,18.746380890811885,2.1797782999703315
2.0,86.0,42.0,20.0,22.0,1810000.0,68500000.0,6.4,26.0,8.0,4.0,86.0,26.0,60.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1.0,18.042344317830995,1.8689068792852253
3.0,78.0,58.0,43.0,23.4,2140000.0,208000000.0,6.5,23.0,9.0,6.0,80.0,39.0,41.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,19.153048642473284,1.5136252556451035
4.0,76.0,70.0,42.0,21.8,2810000.0,85700000.0,6.2,22.0,10.0,6.0,78.0,42.0,36.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,18.26636339523662,1.4248048497350732
5.0,75.0,51.0,32.0,23.4,925000.0,115000000.0,6.3,23.0,6.0,9.0,77.0,44.0,33.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,18.560442695023177,1.380394646780058
6.0,69.0,48.0,25.0,22.6,2210000.0,185000000.0,6.5,18.0,15.0,5.0,54.0,29.0,25.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,19.035866388448003,1.1139334290499667
7.0,61.0,60.0,28.0,23.6,332000.0,112120000.0,5.9,17.0,10.0,11.0,62.0,44.0,18.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,18.535080293179877,0.7586518054098452
8.0,46.0,36.0,19.0,24.0,1010000.0,96000000.0,6.0,12.0,10.0,16.0,41.0,48.0,-7.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1.0,18.379858759848776,0.09249876108461716
9.0,46.0,48.0,17.0,22.5,550000.0,56220000.0,5.8,12.0,10.0,16.0,55.0,67.0,-12.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,17.844783141229925,0.09249876108461716
10.0,45.0,47.0,23.0,24.6,0.0,47700000.0,5.6,12.0,9.0,17.0,43.0,51.0,-8.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1.0,17.68044197682293,0.048088558129601965
