Season,Team,rank,points,members,foreign_players,mean_age,salaries,spending,Mean_Player_Rating,Wins,Draws,Losses,Goals_For,Goals_Against,Goal_Difference
2019-2020,Bournemouth,18.0,34.0,46.0,14.0,23.6,1730000,34460000,5.4,9.0,7.0,22.0,40.0,65.0,-25.0
2019-2020,Watford,19.0,34.0,56.0,32.0,23.4,201000,23130000,5.5,8.0,10.0,20.0,36.0,64.0,-28.0
2019-2020,Norwich,20.0,21.0,43.0,26.0,23.8,121000,830000,5.3,5.0,6.0,27.0,26.0,75.0,-49.0
2020-2021,Manchester City,1.0,86.0,44.0,30.0,23.3,12010000,135100000,6.5,27.0,5.0,6.0,83.0,32.0,51.0
2020-2021,Manchester United,2.0,74.0,44.0,25.0,23.7,17460000,88890000,6.1,21.0,11.0,6.0,73.0,44.0,29.0
2020-2021,Liverpool,3.0,69.0,47.0,29.0,22.7,14860000,82000000,6.0,20.0,9.0,9.0,68.0,42.0,26.0
2020-2021,Chelsea,4.0,67.0,56.0,29.0,23.1,14950000,220000000,6.1,19.0,10.0,9.0,58.0,36.0,22.0
2020-2021,Leicester,5.0,66.0,44.0,29.0,24.2,8560000,25500000,5.9,20.0,6.0,12.0,68.0,50.0,18.0
2020-2021,West Ham,6.0,65.0,43.0,21.0,25.0,5860000,48600000,6.0,19.0,8.0,11.0,62.0,47.0,15.0
2020-2021,Tottenham,7.0,62.0,46.0,22.0,23.0,8080000,74900000,6.0,18.0,8.0,12.0,68.0,45.0,23.0
2020-2021,Arsenal,8.0,61.0,52.0,29.0,22.5,12050000,26300000,6.0,18.0,7.0,13.0,55.0,39.0,16.0
2020-2021,Leeds,9.0,59.0,40.0,19.0,22.8,2410000,92000000,5.8,18.0,5.0,15.0,62.0,54.0,8.0
2020-2021,Everton,10.0,59.0,47.0,26.0,23.2,11060000,70370000,5.9,17.0,8.0,13.0,47.0,48.0,-1.0
2020-2021,Aston Villa,11.0,55.0,56.0,23.0,21.7,4930000,95900000,6.1,16.0,7.0,15.0,55.0,46.0,9.0
2020-2021,Newcastle,12.0,45.0,37.0,16.0,25.4,5420000,22250000,5.6,12.0,9.0,17.0,46.0,62.0,-16.0
2020-2021,Wolverhampton,13.0,45.0,42.0,32.0,22.5,4560000,84500000,5.7,12.0,9.0,17.0,36.0,52.0,-16.0
2020-2021,Crystal Palace,14.0,44.0,36.0,18.0,26.2,6700000,27000000,5.6,12.0,8.0,18.0,41.0,66.0,-25.0
2020-2021,Southampton,15.0,43.0,38.0,17.0,23.1,5360000,40300000,5.3,12.0,7.0,19.0,47.0,68.0,-21.0
2020-2021,Brighton,16.0,41.0,64.0,37.0,23.1,3340000,17000000,5.7,9.0,14.0,15.0,40.0,46.0,-6.0
2020-2021,Burnley,17.0,39.0,32.0,11.0,25.0,3510000,1000000,5.5,10.0,9.0,19.0,33.0,55.0,-22.0
2020-2021,Fulham,18.0,28.0,38.0,20.0,25.0,5070000,22150000,5.5,5.0,13.0,20.0,27.0,53.0,-26.0
2020-2021,West Bromwich Albion,19.0,26.0,45.0,15.0,24.6,2520000,26500000,5.4,5.0,11.0,22.0,35.0,76.0,-41.0
2020-2021,Sheffield United,20.0,23.0,39.0,9.0,23.2,2300000,46500000,5.3,7.0,2.0,29.0,20.0,63.0,-43.0
2021-2022,Manchester City,1.0,93.0,57.0,31.0,21.9,12140000,136000000,6.7,29.0,6.0,3.0,99.0,26.0,73.0
2021-2022,Liverpool,2.0,92.0,61.0,34.0,22.3,13380000,86300000,6.6,28.0,8.0,2.0,94.0,26.0,68.0
2021-2022,Chelsea,3.0,74.0,60.0,30.0,23.6,16200000,115000000,6.5,21.0,11.0,6.0,76.0,33.0,43.0
2021-2022,Tottenham,4.0,71.0,55.0,26.0,22.4,8460000,61000000,6.1,22.0,5.0,11.0,69.0,40.0,29.0
2021-2022,Arsenal,5.0,69.0,67.0,37.0,22.4,14270000,147100000,5.9,22.0,3.0,13.0,61.0,48.0,13.0
2021-2022,Manchester United,6.0,58.0,57.0,31.0,23.4,18680000,145000000,5.9,16.0,10.0,12.0,57.0,57.0,0.0
2021-2022,West Ham,7.0,56.0,40.0,20.0,24.4,4540000,68500000,5.9,16.0,8.0,14.0,60.0,51.0,9.0
2021-2022,Leicester,8.0,52.0,43.0,25.0,23.9,7040000,44200000,5.9,14.0,10.0,14.0,62.0,59.0,3.0
2021-2022,Brighton,9.0,51.0,56.0,34.0,22.4,2950000,39900000,5.9,12.0,15.0,11.0,42.0,44.0,-2.0
2021-2022,Wolverhampton,10.0,51.0,47.0,36.0,22.4,3720000,36300000,5.7,15.0,6.0,17.0,38.0,43.0,-5.0
2021-2022,Newcastle,11.0,49.0,40.0,13.0,25.3,6110000,157970000,5.7,13.0,10.0,15.0,44.0,62.0,-18.0
2021-2022,Crystal Palace,12.0,48.0,33.0,15.0,24.4,4770000,45800000,5.8,11.0,15.0,12.0,50.0,46.0,4.0
2021-2022,Brentford,13.0,46.0,52.0,34.0,22.7,1250000,26100000,5.5,13.0,7.0,18.0,48.0,56.0,-8.0
2021-2022,Aston Villa,14.0,45.0,48.0,21.0,22.7,6620000,68000000,5.7,13.0,6.0,19.0,52.0,54.0,-2.0
2021-2022,Southampton,15.0,40.0,37.0,16.0,23.5,5090000,31100000,5.6,9.0,13.0,16.0,43.0,67.0,-24.0
2021-2022,Everton,16.0,39.0,49.0,24.0,24.1,9800000,60100000,5.5,11.0,6.0,21.0,43.0,66.0,-23.0
2021-2022,Leeds,17.0,38.0,40.0,16.0,22.1,2140000,15000000,5.4,9.0,11.0,18.0,42.0,79.0,-37.0
2021-2022,Burnley,18.0,35.0,36.0,15.0,25.9,4620000,43000000,5.6,7.0,14.0,17.0,34.0,53.0,-19.0
2021-2022,Watford,19.0,23.0,58.0,37.0,24.2,666000,17600000,5.5,6.0,5.0,27.0,34.0,77.0,-43.0
2021-2022,Norwich,20.0,22.0,42.0,25.0,22.8,147000,40000000,5.2,5.0,7.0,26.0,23.0,84.0,-61.0
2022-2023,Manchester City,1.0,89.0,73.0,38.0,21.9,14060000,103500000,6.6,28.0,5.0,5.0,94.0,33.0,61.0
2022-2023,Arsenal,2.0,84.0,76.0,39.0,21.8,10750000,224560000,6.4,26.0,6.0,6.0,88.0,43.0,45.0
